Country,Theme,Name,MinShips
# 
# CURRENTLY IMPLEMENTED COUNTRIES:
# - universal (all countries)
# - greece, britain, france, germany, usa, russia, italy, japan, spain, austria
# 
# TODO - COUNTRIES NEEDING NAMES:
# - china, portugal, brazil, argentina, chile
# - belgium, denmark, norway, sweden, korea
# 
# NOTE: MinShips column is currently set to 0 for all themes (all themes available regardless of class size)
#       Deconfliction happens automatically across all classes using the same base name
# 
# Universal themes available to all countries
universal,Greek Gods,Zeus,0
universal,Greek Gods,Poseidon,0
universal,Greek Gods,Athena,0
universal,Greek Gods,Apollo,0
universal,Greek Gods,Artemis,0
universal,Greek Gods,Ares,0
universal,Greek Gods,Aphrodite,0
universal,Greek Gods,Hephaestus,0
universal,Greek Gods,Hermes,0
universal,Greek Gods,Dionysus,0
universal,Greek Gods,Demeter,0
universal,Greek Gods,Hestia,0
universal,Greek Gods,Hera,0
universal,Greek Gods,Hades,0
universal,Greek Gods,Persephone,0
universal,Greek Gods,Hecate,0
universal,Greek Gods,Helios,0
universal,Greek Gods,Selene,0
universal,Greek Gods,Eos,0
universal,Greek Gods,Kronos,0
universal,Greek Gods,Rhea,0
universal,Greek Gods,Oceanus,0
universal,Greek Gods,Tethys,0
universal,Greek Gods,Hyperion,0
universal,Greek Gods,Theia,0
universal,Greek Gods,Coeus,0
universal,Greek Gods,Phoebe,0
universal,Greek Gods,Mnemosyne,0
universal,Greek Gods,Themis,0
universal,Greek Gods,Crius,0
universal,Greek Gods,Iapetus,0
universal,Greek Gods,Atlas,0
universal,Greek Gods,Prometheus,0
universal,Greek Gods,Epimetheus,0
universal,Greek Gods,Metis,0
universal,Greek Gods,Eris,0
universal,Greek Gods,Nemesis,0
universal,Greek Gods,Nike,0
universal,Greek Gods,Tyche,0
universal,Greek Gods,Pan,0
universal,Greek Gods,Morpheus,0
universal,Greek Gods,Hypnos,0
universal,Greek Gods,Thanatos,0
universal,Greek Gods,Erebus,0
universal,Greek Gods,Nyx,0
universal,Greek Gods,Aether,0
universal,Greek Gods,Hemera,0
universal,Greek Gods,Gaia,0
